l;w
209.834;54.568
209.850;54.711
209.848;54.629
209.229;54.901
208.869;54.532
209.243;54.588
213.295;54.700
208.718;54.611
209.362;54.689
209.027;54.723
209.941;54.553
208.564;54.481
209.192;54.725
209.045;54.660
209.036;54.557
209.339;54.623
208.743;54.904
208.811;54.602
209.206;54.642
208.950;54.535
209.076;54.571
208.418;55.400
208.845;55.047
